model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR,2330TW,1,long_term_forecast,success,674.72,11m 14s,2025-12-30 01:29:31,2025-12-30 01:40:46,
TransLSTM_AR,2330TW,5,long_term_forecast,success,560.75,9m 20s,2025-12-30 01:40:46,2025-12-30 01:50:07,
TransLSTM_AR,AAPL,1,long_term_forecast,success,735.64,12m 15s,2025-12-30 01:50:07,2025-12-30 02:02:22,
TransLSTM_AR,AAPL,5,long_term_forecast,success,648.7,10m 48s,2025-12-30 02:02:22,2025-12-30 02:13:11,
TransLSTM_AR,SPX,1,long_term_forecast,success,732.02,12m 12s,2025-12-30 02:13:11,2025-12-30 02:25:23,
TransLSTM_AR,SPX,5,long_term_forecast,success,559.9,9m 19s,2025-12-30 02:25:23,2025-12-30 02:34:43,
TransLSTM_AR,SOX,1,long_term_forecast,success,644.86,10m 44s,2025-12-30 02:34:43,2025-12-30 02:45:28,
TransLSTM_AR,SOX,5,long_term_forecast,success,649.72,10m 49s,2025-12-30 02:45:28,2025-12-30 02:56:18,
TransLSTM_AR,NDX,1,long_term_forecast,success,819.64,13m 39s,2025-12-30 02:56:18,2025-12-30 03:09:57,
TransLSTM_AR,NDX,5,long_term_forecast,success,648.2,10m 48s,2025-12-30 03:09:57,2025-12-30 03:20:45,
TransLSTM_AR_wo4,2330TW,1,long_term_forecast,success,641.4,10m 41s,2025-12-30 03:20:45,2025-12-30 03:31:27,
TransLSTM_AR_wo4,2330TW,5,long_term_forecast,success,644.62,10m 44s,2025-12-30 03:31:27,2025-12-30 03:42:11,
TransLSTM_AR_wo4,AAPL,1,long_term_forecast,success,729.94,12m 9s,2025-12-30 03:42:11,2025-12-30 03:54:21,
TransLSTM_AR_wo4,AAPL,5,long_term_forecast,success,909.5,15m 9s,2025-12-30 03:54:21,2025-12-30 04:09:31,
TransLSTM_AR_wo4,SPX,1,long_term_forecast,success,554.75,9m 14s,2025-12-30 04:09:31,2025-12-30 04:18:46,
TransLSTM_AR_wo4,SPX,5,long_term_forecast,success,910.72,15m 10s,2025-12-30 04:18:46,2025-12-30 04:33:56,
TransLSTM_AR_wo4,SOX,1,long_term_forecast,success,555.26,9m 15s,2025-12-30 04:33:56,2025-12-30 04:43:12,
TransLSTM_AR_wo4,SOX,5,long_term_forecast,success,734.19,12m 14s,2025-12-30 04:43:12,2025-12-30 04:55:26,
TransLSTM_AR_wo4,NDX,1,long_term_forecast,success,1786.3,29m 46s,2025-12-30 04:55:26,2025-12-30 05:25:12,
TransLSTM_AR_wo4,NDX,5,long_term_forecast,success,823.43,13m 43s,2025-12-30 05:25:12,2025-12-30 05:38:56,
TransLSTM_AR_wo3,2330TW,1,long_term_forecast,success,642.3,10m 42s,2025-12-30 05:38:56,2025-12-30 05:49:38,
TransLSTM_AR_wo3,2330TW,5,long_term_forecast,success,734.47,12m 14s,2025-12-30 05:49:38,2025-12-30 06:01:53,
TransLSTM_AR_wo3,AAPL,1,long_term_forecast,success,643.18,10m 43s,2025-12-30 06:01:53,2025-12-30 06:12:36,
TransLSTM_AR_wo3,AAPL,5,long_term_forecast,success,734.93,12m 14s,2025-12-30 06:12:36,2025-12-30 06:24:51,
TransLSTM_AR_wo3,SPX,1,long_term_forecast,success,733.02,12m 13s,2025-12-30 06:24:51,2025-12-30 06:37:04,
TransLSTM_AR_wo3,SPX,5,long_term_forecast,success,646.99,10m 46s,2025-12-30 06:37:04,2025-12-30 06:47:51,
TransLSTM_AR_wo3,SOX,1,long_term_forecast,success,994.56,16m 34s,2025-12-30 06:47:51,2025-12-30 07:04:25,
TransLSTM_AR_wo3,SOX,5,long_term_forecast,success,1175.04,19m 35s,2025-12-30 07:04:25,2025-12-30 07:24:00,
TransLSTM_AR_wo3,NDX,1,long_term_forecast,success,906.71,15m 6s,2025-12-30 07:24:00,2025-12-30 07:39:07,
TransLSTM_AR_wo3,NDX,5,long_term_forecast,success,827.07,13m 47s,2025-12-30 07:39:07,2025-12-30 07:52:54,
TransLSTM_AR_wo2,2330TW,1,long_term_forecast,success,644.01,10m 44s,2025-12-30 07:52:54,2025-12-30 08:03:38,
TransLSTM_AR_wo2,2330TW,5,long_term_forecast,success,733.93,12m 13s,2025-12-30 08:03:38,2025-12-30 08:15:52,
TransLSTM_AR_wo2,AAPL,1,long_term_forecast,success,730.62,12m 10s,2025-12-30 08:15:52,2025-12-30 08:28:03,
