model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
iTransformer,2330TW,1,long_term_forecast,success,1330.17,22m 10s,2025-12-18 13:52:06,2025-12-18 14:14:16,
iTransformer,2330TW,5,long_term_forecast,success,1280.06,21m 20s,2025-12-18 14:14:16,2025-12-18 14:35:36,
iTransformer,AAPL,1,long_term_forecast,success,608.11,10m 8s,2025-12-18 14:35:36,2025-12-18 14:45:44,
iTransformer,AAPL,5,long_term_forecast,success,1626.96,27m 6s,2025-12-18 14:45:44,2025-12-18 15:12:51,
iTransformer,SPX,1,long_term_forecast,success,828.61,13m 48s,2025-12-18 15:12:51,2025-12-18 15:26:40,
