model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR,2330TW,1,long_term_forecast,success,674.72,11m 14s,2025-12-30 01:29:31,2025-12-30 01:40:46,
TransLSTM_AR,2330TW,5,long_term_forecast,success,560.75,9m 20s,2025-12-30 01:40:46,2025-12-30 01:50:07,
TransLSTM_AR,AAPL,1,long_term_forecast,success,735.64,12m 15s,2025-12-30 01:50:07,2025-12-30 02:02:22,
TransLSTM_AR,AAPL,5,long_term_forecast,success,648.7,10m 48s,2025-12-30 02:02:22,2025-12-30 02:13:11,
TransLSTM_AR,SPX,1,long_term_forecast,success,732.02,12m 12s,2025-12-30 02:13:11,2025-12-30 02:25:23,
TransLSTM_AR,SPX,5,long_term_forecast,success,559.9,9m 19s,2025-12-30 02:25:23,2025-12-30 02:34:43,
TransLSTM_AR,SOX,1,long_term_forecast,success,644.86,10m 44s,2025-12-30 02:34:43,2025-12-30 02:45:28,
TransLSTM_AR,SOX,5,long_term_forecast,success,649.72,10m 49s,2025-12-30 02:45:28,2025-12-30 02:56:18,
TransLSTM_AR,NDX,1,long_term_forecast,success,819.64,13m 39s,2025-12-30 02:56:18,2025-12-30 03:09:57,
TransLSTM_AR,NDX,5,long_term_forecast,success,648.2,10m 48s,2025-12-30 03:09:57,2025-12-30 03:20:45,
TransLSTM_AR_wo4,2330TW,1,long_term_forecast,success,641.4,10m 41s,2025-12-30 03:20:45,2025-12-30 03:31:27,
TransLSTM_AR_wo4,2330TW,5,long_term_forecast,success,644.62,10m 44s,2025-12-30 03:31:27,2025-12-30 03:42:11,
