model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR_wo4,2330TW,1,long_term_forecast,failed,53.58,53s,2025-12-30 08:51:07,2025-12-30 08:52:01,Given groups=1; weight of size [512; 4; 3]; expected input[32; 7; 9] to have 4 channels; but got 7 channels instead
TransLSTM_AR_wo4,2330TW,5,long_term_forecast,failed,42.21,42s,2025-12-30 08:52:01,2025-12-30 08:52:43,Given groups=1; weight of size [512; 4; 3]; expected input[32; 7; 9] to have 4 channels; but got 7 channels instead
