model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR,2330TW,1,long_term_forecast,success,717.47,11m 57s,2025-12-23 07:53:50,2025-12-23 08:05:48,
TransLSTM_AR,2330TW,5,long_term_forecast,success,605.54,10m 5s,2025-12-23 08:05:48,2025-12-23 08:15:54,
TransLSTM_AR,AAPL,1,long_term_forecast,success,721.01,12m 1s,2025-12-23 08:15:54,2025-12-23 08:27:55,
TransLSTM_AR,AAPL,5,long_term_forecast,success,646.64,10m 46s,2025-12-23 08:27:55,2025-12-23 08:38:41,
TransLSTM_AR,SPX,1,long_term_forecast,success,800.34,13m 20s,2025-12-23 08:38:41,2025-12-23 08:52:02,
