model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
DLinear,2330TW,1,long_term_forecast,success,973.66,16m 13s,2025-12-17 20:12:14,2025-12-17 20:28:28,
DLinear,2330TW,5,long_term_forecast,success,838.81,13m 58s,2025-12-17 20:28:28,2025-12-17 20:42:27,
DLinear,AAPL,1,long_term_forecast,success,1383.79,23m 3s,2025-12-17 20:42:27,2025-12-17 21:05:31,
DLinear,AAPL,5,long_term_forecast,success,1832.6,30m 32s,2025-12-17 21:05:31,2025-12-17 21:36:03,
DLinear,SPX,1,long_term_forecast,success,928.64,15m 28s,2025-12-17 21:36:03,2025-12-17 21:51:32,
DLinear,SPX,5,long_term_forecast,success,930.1,15m 30s,2025-12-17 21:51:32,2025-12-17 22:07:02,
DLinear,SOX,1,long_term_forecast,success,1110.16,18m 30s,2025-12-17 22:07:02,2025-12-17 22:25:32,
DLinear,SOX,5,long_term_forecast,success,1561.14,26m 1s,2025-12-17 22:25:32,2025-12-17 22:51:33,
DLinear,NDX,1,long_term_forecast,success,1743.53,29m 3s,2025-12-17 22:51:33,2025-12-17 23:20:37,
