model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
iTransformer,2330TW,1,long_term_forecast,success,1330.17,22m 10s,2025-12-18 13:52:06,2025-12-18 14:14:16,
iTransformer,2330TW,5,long_term_forecast,success,1280.06,21m 20s,2025-12-18 14:14:16,2025-12-18 14:35:36,
iTransformer,AAPL,1,long_term_forecast,success,608.11,10m 8s,2025-12-18 14:35:36,2025-12-18 14:45:44,
iTransformer,AAPL,5,long_term_forecast,success,1626.96,27m 6s,2025-12-18 14:45:44,2025-12-18 15:12:51,
iTransformer,SPX,1,long_term_forecast,success,828.61,13m 48s,2025-12-18 15:12:51,2025-12-18 15:26:40,
iTransformer,SPX,5,long_term_forecast,success,738.62,12m 18s,2025-12-18 15:26:40,2025-12-18 15:38:59,
iTransformer,SOX,1,long_term_forecast,success,903.25,15m 3s,2025-12-18 15:38:59,2025-12-18 15:54:02,
iTransformer,SOX,5,long_term_forecast,success,823.49,13m 43s,2025-12-18 15:54:02,2025-12-18 16:07:45,
iTransformer,NDX,1,long_term_forecast,success,1115.03,18m 35s,2025-12-18 16:07:45,2025-12-18 16:26:20,
