model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR,2330TW,1,long_term_forecast,success,674.72,11m 14s,2025-12-30 01:29:31,2025-12-30 01:40:46,
TransLSTM_AR,2330TW,5,long_term_forecast,success,560.75,9m 20s,2025-12-30 01:40:46,2025-12-30 01:50:07,
TransLSTM_AR,AAPL,1,long_term_forecast,success,735.64,12m 15s,2025-12-30 01:50:07,2025-12-30 02:02:22,
TransLSTM_AR,AAPL,5,long_term_forecast,success,648.7,10m 48s,2025-12-30 02:02:22,2025-12-30 02:13:11,
