model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR_wo4,2330TW,1,long_term_forecast,success,1284.92,21m 24s,2025-12-30 23:38:27,2025-12-30 23:59:52,
TransLSTM_AR_wo4,2330TW,5,long_term_forecast,success,1603.96,26m 43s,2025-12-30 23:59:52,2025-12-31 00:26:36,
TransLSTM_AR_wo4,AAPL,1,long_term_forecast,success,828.92,13m 48s,2025-12-31 00:26:36,2025-12-31 00:40:25,
TransLSTM_AR_wo4,AAPL,5,long_term_forecast,success,1829.76,30m 29s,2025-12-31 00:40:25,2025-12-31 01:10:55,
TransLSTM_AR_wo4,SPX,1,long_term_forecast,success,922.45,15m 22s,2025-12-31 01:10:55,2025-12-31 01:26:17,
TransLSTM_AR_wo4,SPX,5,long_term_forecast,success,1829.83,30m 29s,2025-12-31 01:26:17,2025-12-31 01:56:47,
TransLSTM_AR_wo4,SOX,1,long_term_forecast,success,829.55,13m 49s,2025-12-31 01:56:47,2025-12-31 02:10:37,
TransLSTM_AR_wo4,SOX,5,long_term_forecast,success,1925.51,32m 5s,2025-12-31 02:10:37,2025-12-31 02:42:42,
TransLSTM_AR_wo4,NDX,1,long_term_forecast,success,919.88,15m 19s,2025-12-31 02:42:42,2025-12-31 02:58:02,
TransLSTM_AR_wo4,NDX,5,long_term_forecast,success,1922.25,32m 2s,2025-12-31 02:58:02,2025-12-31 03:30:04,
TransLSTM_AR,2330TW,1,long_term_forecast,success,740.65,12m 20s,2025-12-31 03:30:04,2025-12-31 03:42:25,
