model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR_wo4,2330TW,1,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:41,2025-12-29 23:43:41,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,2330TW,5,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:41,2025-12-29 23:43:41,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,AAPL,1,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:41,2025-12-29 23:43:41,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,AAPL,5,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:41,2025-12-29 23:43:41,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,SPX,1,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:41,2025-12-29 23:43:41,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,SPX,5,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:41,2025-12-29 23:43:41,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,SOX,1,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:41,2025-12-29 23:43:41,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,SOX,5,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:41,2025-12-29 23:43:41,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,NDX,1,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:42,2025-12-29 23:43:42,'TransLSTM_AR_wo4'
TransLSTM_AR_wo4,NDX,5,long_term_forecast,failed,0.0,0s,2025-12-29 23:43:42,2025-12-29 23:43:42,'TransLSTM_AR_wo4'
