model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
DLinear,2330TW,1,long_term_forecast,success,973.66,16m 13s,2025-12-17 20:12:14,2025-12-17 20:28:28,
DLinear,2330TW,5,long_term_forecast,success,838.81,13m 58s,2025-12-17 20:28:28,2025-12-17 20:42:27,
DLinear,AAPL,1,long_term_forecast,success,1383.79,23m 3s,2025-12-17 20:42:27,2025-12-17 21:05:31,
DLinear,AAPL,5,long_term_forecast,success,1832.6,30m 32s,2025-12-17 21:05:31,2025-12-17 21:36:03,
DLinear,SPX,1,long_term_forecast,success,928.64,15m 28s,2025-12-17 21:36:03,2025-12-17 21:51:32,
DLinear,SPX,5,long_term_forecast,success,930.1,15m 30s,2025-12-17 21:51:32,2025-12-17 22:07:02,
DLinear,SOX,1,long_term_forecast,success,1110.16,18m 30s,2025-12-17 22:07:02,2025-12-17 22:25:32,
DLinear,SOX,5,long_term_forecast,success,1561.14,26m 1s,2025-12-17 22:25:32,2025-12-17 22:51:33,
DLinear,NDX,1,long_term_forecast,success,1743.53,29m 3s,2025-12-17 22:51:33,2025-12-17 23:20:37,
DLinear,NDX,5,long_term_forecast,success,888.28,14m 48s,2025-12-17 23:20:37,2025-12-17 23:35:25,
Informer,2330TW,1,long_term_forecast,success,1637.71,27m 17s,2025-12-17 23:35:25,2025-12-18 00:02:43,
Informer,2330TW,5,long_term_forecast,success,1451.62,24m 11s,2025-12-18 00:02:43,2025-12-18 00:26:55,
Informer,AAPL,1,long_term_forecast,success,1069.27,17m 49s,2025-12-18 00:26:55,2025-12-18 00:44:44,
Informer,AAPL,5,long_term_forecast,success,1925.83,32m 5s,2025-12-18 00:44:44,2025-12-18 01:16:50,
Informer,SPX,1,long_term_forecast,success,1929.0,32m 9s,2025-12-18 01:16:50,2025-12-18 01:48:59,
Informer,SPX,5,long_term_forecast,success,1167.13,19m 27s,2025-12-18 01:48:59,2025-12-18 02:08:26,
Informer,SOX,1,long_term_forecast,success,1835.19,30m 35s,2025-12-18 02:08:26,2025-12-18 02:39:01,
Informer,SOX,5,long_term_forecast,success,976.25,16m 16s,2025-12-18 02:39:01,2025-12-18 02:55:17,
Informer,NDX,1,long_term_forecast,success,1639.08,27m 19s,2025-12-18 02:55:17,2025-12-18 03:22:36,
Informer,NDX,5,long_term_forecast,success,1736.75,28m 56s,2025-12-18 03:22:36,2025-12-18 03:51:33,
Autoformer,2330TW,1,long_term_forecast,success,1793.45,29m 53s,2025-12-18 03:51:33,2025-12-18 04:21:27,
Autoformer,2330TW,5,long_term_forecast,success,1402.11,23m 22s,2025-12-18 04:21:27,2025-12-18 04:44:49,
Autoformer,AAPL,1,long_term_forecast,success,1998.35,33m 18s,2025-12-18 04:44:49,2025-12-18 05:18:07,
Autoformer,AAPL,5,long_term_forecast,success,1504.22,25m 4s,2025-12-18 05:18:07,2025-12-18 05:43:11,
Autoformer,SPX,1,long_term_forecast,success,1010.28,16m 50s,2025-12-18 05:43:11,2025-12-18 06:00:02,
Autoformer,SPX,5,long_term_forecast,success,715.68,11m 55s,2025-12-18 06:00:02,2025-12-18 06:11:57,
Autoformer,SOX,1,long_term_forecast,success,1993.42,33m 13s,2025-12-18 06:11:57,2025-12-18 06:45:11,
Autoformer,SOX,5,long_term_forecast,success,1112.51,18m 32s,2025-12-18 06:45:11,2025-12-18 07:03:43,
Autoformer,NDX,1,long_term_forecast,success,1998.57,33m 18s,2025-12-18 07:03:43,2025-12-18 07:37:02,
Autoformer,NDX,5,long_term_forecast,success,1384.53,23m 4s,2025-12-18 07:37:02,2025-12-18 08:00:06,
PatchTST,2330TW,1,long_term_forecast,success,1057.22,17m 37s,2025-12-18 08:00:06,2025-12-18 08:17:44,
PatchTST,2330TW,5,long_term_forecast,success,1441.92,24m 1s,2025-12-18 08:17:44,2025-12-18 08:41:46,
PatchTST,AAPL,1,long_term_forecast,success,1104.94,18m 24s,2025-12-18 08:41:46,2025-12-18 09:00:11,
PatchTST,AAPL,5,long_term_forecast,success,997.96,16m 37s,2025-12-18 09:00:11,2025-12-18 09:16:49,
PatchTST,SPX,1,long_term_forecast,success,1069.78,17m 49s,2025-12-18 09:16:49,2025-12-18 09:34:38,
PatchTST,SPX,5,long_term_forecast,success,1054.85,17m 34s,2025-12-18 09:34:38,2025-12-18 09:52:13,
PatchTST,SOX,1,long_term_forecast,success,1230.01,20m 30s,2025-12-18 09:52:13,2025-12-18 10:12:43,
PatchTST,SOX,5,long_term_forecast,success,1221.62,20m 21s,2025-12-18 10:12:43,2025-12-18 10:33:05,
PatchTST,NDX,1,long_term_forecast,success,857.91,14m 17s,2025-12-18 10:33:05,2025-12-18 10:47:23,
PatchTST,NDX,5,long_term_forecast,success,672.07,11m 12s,2025-12-18 10:47:23,2025-12-18 10:58:35,
Transformer,2330TW,1,long_term_forecast,success,1136.95,18m 56s,2025-12-18 10:58:35,2025-12-18 11:17:32,
